"Compound","C_Label","fraction","tissue","time"
"aspartate",4,0.006302242,"kidney",25
"glutamate",1,0.008725589,"kidney",25
"glutamate",2,0.002509843,"kidney",25
"glutamate",3,0.005231177,"kidney",25
"glutamate",4,0,"kidney",25
"glutamate",5,0.013152124,"kidney",25
"succinate",1,0.012689765,"kidney",25
"succinate",2,0.005014137,"kidney",25
"succinate",3,0.001209915,"kidney",25
"succinate",4,0.006678947,"kidney",25
"malate",1,0.011712442,"kidney",25
"malate",2,0.004106209,"kidney",25
"malate",3,0.001732071,"kidney",25
"malate",4,0.005332187,"kidney",25
"aspartate",1,0.006797315,"kidney",25
"aspartate",2,0.004275602,"kidney",25
"aspartate",3,0.000768192,"kidney",25
"aspartate",4,0.006213575,"kidney",25
"glutamate",1,0.014754378,"intestine",25
"glutamate",2,0.005176519,"intestine",25
"glutamate",3,0.01531474,"intestine",25
"glutamate",4,0,"intestine",25
"glutamate",5,0.025832945,"intestine",25
"succinate",1,0.024367241,"intestine",25
"succinate",2,0.019283146,"intestine",25
"succinate",3,0.002841138,"intestine",25
"succinate",4,0.027293983,"intestine",25
"malate",1,0.020889031,"intestine",25
"malate",2,0.01605368,"intestine",25
"malate",3,0.003501244,"intestine",25
"malate",4,0.022579112,"intestine",25
"aspartate",1,0.012564164,"intestine",25
"aspartate",2,0.01004835,"intestine",25
"aspartate",3,0.000613522,"intestine",25
"aspartate",4,0.016371319,"intestine",25
"glutamate",1,0.015187622,"intestine",25
"glutamate",2,0.005653357,"intestine",25
"glutamate",3,0.016090459,"intestine",25
"glutamate",4,0,"intestine",25
"glutamate",5,0.027580341,"intestine",25
"succinate",1,0.029772505,"intestine",25
"succinate",2,0.023586378,"intestine",25
"succinate",3,0.005079876,"intestine",25
"succinate",4,0.035724478,"intestine",25
"malate",1,0.021572586,"intestine",25
