"Compound","C_Label","fraction","tissue","time","omitFromFit"
"glutamate",3,0.010174274,"white adipose",90,TRUE
"succinate",1,0.05272107,"white adipose",90,TRUE
"succinate",2,0.05413525,"white adipose",90,TRUE
"succinate",3,0.000977265,"white adipose",90,TRUE
"malate",1,0.049384935,"white adipose",90,TRUE
"malate",2,0.032031798,"white adipose",90,TRUE
"malate",3,0.012554914,"white adipose",90,TRUE
"aspartate",1,0.020738604,"white adipose",90,TRUE
"aspartate",2,0.002875647,"white adipose",90,TRUE
"aspartate",3,0.006274477,"white adipose",90,TRUE
"glutamate",1,0.043266449,"white adipose",90,TRUE
"glutamate",2,0.031776806,"white adipose",90,TRUE
"glutamate",3,0.008014115,"white adipose",90,TRUE
"succinate",1,0.055915569,"white adipose",90,TRUE
"succinate",2,0.0411878,"white adipose",90,TRUE
"succinate",3,0.00193913,"white adipose",90,TRUE
"malate",1,0.040262773,"white adipose",90,TRUE
"malate",2,0.024831046,"white adipose",90,TRUE
"malate",3,0.012484086,"white adipose",90,TRUE
"aspartate",1,0.027101707,"white adipose",90,TRUE
"aspartate",2,0.006416186,"white adipose",90,TRUE
"aspartate",3,0.005250507,"white adipose",90,TRUE
"glutamate",1,0.023914635,"diaphragm",3,FALSE
"glutamate",2,0.022616582,"diaphragm",3,FALSE
"glutamate",3,0.00141738,"diaphragm",3,FALSE
"succinate",1,0.0309294,"diaphragm",3,FALSE
"succinate",2,0.020697402,"diaphragm",3,FALSE
"succinate",3,0.001863374,"diaphragm",3,FALSE
"malate",1,0.028208416,"diaphragm",3,FALSE
"malate",2,0.020440193,"diaphragm",3,FALSE
"malate",3,0.002439012,"diaphragm",3,FALSE
"aspartate",1,0.021566395,"diaphragm",3,FALSE
"aspartate",2,0.018622986,"diaphragm",3,FALSE
"aspartate",3,0.001652985,"diaphragm",3,FALSE
"glutamate",1,0.049010841,"diaphragm",20,FALSE
"glutamate",2,0.031471179,"diaphragm",20,FALSE
"glutamate",3,0.003302191,"diaphragm",20,FALSE
"succinate",1,0.054791238,"diaphragm",20,FALSE
"succinate",2,0.02495586,"diaphragm",20,FALSE
"succinate",3,0.002995968,"diaphragm",20,FALSE
"malate",1,0.054689296,"diaphragm",20,FALSE
"malate",2,0.024765902,"diaphragm",20,FALSE
"malate",3,0.004488003,"diaphragm",20,FALSE
"aspartate",1,0.042158694,"diaphragm",20,FALSE
"aspartate",2,0.022808914,"diaphragm",20,FALSE
"aspartate",3,0.003729962,"diaphragm",20,FALSE
"glutamate",1,0.000914312,"gastrocnemius",3,FALSE
"glutamate",2,0.003900738,"gastrocnemius",3,FALSE
"glutamate",3,0.000502462,"gastrocnemius",3,FALSE
"succinate",1,0.002013012,"gastrocnemius",3,FALSE
"succinate",2,0.002508726,"gastrocnemius",3,FALSE
"succinate",3,0.00084647,"gastrocnemius",3,FALSE
"malate",2,0.002231968,"gastrocnemius",3,FALSE
"malate",3,0.001217383,"gastrocnemius",3,FALSE
"aspartate",2,0.001601174,"gastrocnemius",3,FALSE
"aspartate",3,0.001238356,"gastrocnemius",3,FALSE
"glutamate",1,0.014051854,"gastrocnemius",20,FALSE
"glutamate",2,0.019499674,"gastrocnemius",20,FALSE
"glutamate",3,0.001603826,"gastrocnemius",20,FALSE
"succinate",1,0.014455876,"gastrocnemius",20,FALSE
"succinate",2,0.0136297,"gastrocnemius",20,FALSE
"succinate",3,0.002385982,"gastrocnemius",20,FALSE
"malate",1,0.013043112,"gastrocnemius",20,FALSE
"malate",2,0.012928213,"gastrocnemius",20,FALSE
"malate",3,0.003729374,"gastrocnemius",20,FALSE
"aspartate",1,0.010104809,"gastrocnemius",20,FALSE
"aspartate",2,0.011997931,"gastrocnemius",20,FALSE
"aspartate",3,0.004215789,"gastrocnemius",20,FALSE
"glutamate",1,0.017093723,"heart",3,FALSE
"glutamate",2,0.010268452,"heart",3,FALSE
"glutamate",3,0.000631771,"heart",3,FALSE
"succinate",1,0.017982096,"heart",3,FALSE
"succinate",2,0.007607439,"heart",3,FALSE
"succinate",3,0.00064089,"heart",3,FALSE
"malate",1,0.015987722,"heart",3,FALSE
"malate",2,0.008013543,"heart",3,FALSE
"malate",3,0.000909381,"heart",3,FALSE
"aspartate",1,0.015890122,"heart",3,FALSE
"aspartate",2,0.007715564,"heart",3,FALSE
"aspartate",3,0.000797512,"heart",3,FALSE
"glutamate",1,0.023359216,"heart",20,FALSE
"glutamate",2,0.016411545,"heart",20,FALSE
"glutamate",3,0.001109664,"heart",20,FALSE
"succinate",1,0.025039678,"heart",20,FALSE
"succinate",2,0.010452652,"heart",20,FALSE
"succinate",3,0.000969894,"heart",20,FALSE
"malate",1,0.027599554,"heart",20,FALSE
"malate",2,0.010433421,"heart",20,FALSE
"malate",3,0.001036448,"heart",20,FALSE
"aspartate",1,0.022369821,"heart",20,FALSE
"aspartate",2,0.011034704,"heart",20,FALSE
"aspartate",3,0.001454746,"heart",20,FALSE
"glutamate",1,0.003200377,"intestine",3,FALSE
"glutamate",2,0.004550269,"intestine",3,FALSE
"glutamate",3,0.00134405,"intestine",3,FALSE
"succinate",1,0.007655703,"intestine",3,FALSE
"succinate",2,0.007740861,"intestine",3,FALSE
"succinate",3,0.003197401,"intestine",3,FALSE
"malate",1,0.004794661,"intestine",3,FALSE
"malate",2,0.004414299,"intestine",3,FALSE
"malate",3,0.004769531,"intestine",3,FALSE
"aspartate",2,0.001228626,"intestine",3,FALSE
"aspartate",3,0.00383668,"intestine",3,FALSE
"glutamate",1,0.017376738,"intestine",20,FALSE
"glutamate",2,0.024646757,"intestine",20,FALSE
"glutamate",3,0.005591353,"intestine",20,FALSE
"succinate",1,0.025214149,"intestine",20,FALSE
"succinate",2,0.01947449,"intestine",20,FALSE
"succinate",3,0.003010121,"intestine",20,FALSE
"malate",1,0.023773623,"intestine",20,FALSE
"malate",2,0.019011027,"intestine",20,FALSE
"malate",3,0.006844705,"intestine",20,FALSE
"aspartate",1,0.011448401,"intestine",20,FALSE
"aspartate",2,0.019416334,"intestine",20,FALSE
"aspartate",3,0.006729736,"intestine",20,FALSE
"glutamate",1,0.010884357,"kidney",3,FALSE
"glutamate",2,0.024471989,"kidney",3,FALSE
"glutamate",3,0.00772292,"kidney",3,FALSE
"succinate",1,0.02724052,"kidney",3,FALSE
"succinate",2,0.033596659,"kidney",3,FALSE
"succinate",3,0.022872548,"kidney",3,FALSE
"malate",1,0.027651064,"kidney",3,FALSE
"malate",2,0.032048998,"kidney",3,FALSE
"malate",3,0.029935317,"kidney",3,FALSE
"aspartate",1,0.026099119,"kidney",3,FALSE
"aspartate",2,0.035754077,"kidney",3,FALSE
"aspartate",3,0.044341505,"kidney",3,FALSE
"glutamate",1,0.038751017,"kidney",20,FALSE
"glutamate",2,0.037859208,"kidney",20,FALSE
"glutamate",3,0.009840272,"kidney",20,FALSE
"succinate",1,0.054120745,"kidney",20,FALSE
"succinate",2,0.04111354,"kidney",20,FALSE
"succinate",3,0.0129975,"kidney",20,FALSE
"malate",1,0.056221331,"kidney",20,FALSE
"malate",2,0.038866338,"kidney",20,FALSE
"malate",3,0.01873441,"kidney",20,FALSE
"aspartate",1,0.044995076,"kidney",20,FALSE
"aspartate",2,0.032005687,"kidney",20,FALSE
"aspartate",3,0.018574293,"kidney",20,FALSE
"glutamate",1,0.008619001,"liver",3,FALSE
"glutamate",2,0.039832438,"liver",3,FALSE
"glutamate",3,0.013845824,"liver",3,FALSE
"succinate",1,0.016392068,"liver",3,FALSE
"succinate",2,0.055086898,"liver",3,FALSE
"succinate",3,0.015514442,"liver",3,FALSE
"malate",1,0.019231364,"liver",3,FALSE
"malate",2,0.039570589,"liver",3,FALSE
"aspartate",1,0.006128485,"liver",3,FALSE
"aspartate",2,0.009724389,"liver",3,FALSE
"aspartate",3,0.010060798,"liver",3,FALSE
"glutamate",1,0.031126848,"liver",20,FALSE
"glutamate",2,0.065329947,"liver",20,FALSE
"glutamate",3,0.02101204,"liver",20,FALSE
"succinate",1,0.041765216,"liver",20,FALSE
"succinate",2,0.074667593,"liver",20,FALSE
"succinate",3,0.015266291,"liver",20,FALSE
"malate",1,0.046422878,"liver",20,FALSE
"malate",2,0.053064457,"liver",20,FALSE
"malate",3,0.031925262,"liver",20,FALSE
"aspartate",1,0.021238135,"liver",20,FALSE
"aspartate",2,0.025635636,"liver",20,FALSE
"aspartate",3,0.017525767,"liver",20,FALSE
"glutamate",1,0.003714465,"quad",3,FALSE
"glutamate",2,0.006589171,"quad",3,FALSE
"succinate",1,0.002351886,"quad",3,FALSE
"succinate",2,0.004750838,"quad",3,FALSE
"succinate",3,0.001037767,"quad",3,FALSE
"malate",1,0.001307999,"quad",3,FALSE
"malate",2,0.003777192,"quad",3,FALSE
"malate",3,0.001769509,"quad",3,FALSE
"aspartate",2,0.001962253,"quad",3,FALSE
"aspartate",3,0.000874518,"quad",3,FALSE
"glutamate",1,0.009604885,"quad",20,FALSE
"glutamate",2,0.01424897,"quad",20,FALSE
"glutamate",3,0.001443924,"quad",20,FALSE
"succinate",1,0.008368443,"quad",20,FALSE
"succinate",2,0.009397223,"quad",20,FALSE
"succinate",3,0.002504721,"quad",20,FALSE
"malate",1,0.00914633,"quad",20,FALSE
"malate",2,0.010434094,"quad",20,FALSE
"malate",3,0.003794496,"quad",20,FALSE
"aspartate",1,0.004626725,"quad",20,FALSE
"aspartate",2,0.007652226,"quad",20,FALSE
"aspartate",3,0.002687378,"quad",20,FALSE
"glutamate",1,0.001097792,"spleen",3,FALSE
"glutamate",2,0.001033983,"spleen",3,FALSE
"glutamate",3,0.000211457,"spleen",3,FALSE
"succinate",1,0.001515362,"spleen",3,FALSE
"succinate",2,0.002978022,"spleen",3,FALSE
